time_sec,ecg
0.0,-269.67154
0.002,-300.97028
0.004,-304.43503
0.006,-288.88953
0.008,-267.6703
0.01,-252.2803
0.012,-248.77664
0.014,-255.95732
0.016,-267.6703
0.018,-276.51614
0.02,-278.42773
0.022,-273.60678
0.024,-265.669
0.026,-258.7808
0.028,-256.06747
0.03,-257.83505
0.032,-262.16678
0.034,-266.14822
0.036,-268.31738
0.038,-268.7394
0.04,-268.67093
0.042,-269.14288
0.044,-270.88498
0.046,-273.43585
0.048,-275.67538
0.05,-276.26257
0.052,-275.12604
0.054,-272.9204
0.056,-270.67218
0.058,-268.81946
0.06,-267.69537
0.062,-266.97897
0.064,-266.1693
0.066,-264.67584
0.068,-262.91037
0.07,-261.53555
0.072,-261.16614
0.074,-261.65115
0.076,-262.80875
0.078,-264.01657
0.08,-264.66837
0.082,-264.00787
0.084,-262.76245
0.086,-261.47272
0.088,-260.66583
0.09,-260.10962
0.092,-260.21494
0.094,-260.57138
0.096,-260.66583
0.098,-259.70016
0.1,-258.28586
0.102,-256.80884
0.104,-255.66264
0.106,-254.55911
0.108,-253.9466
0.11,-253.5706
0.112,-253.16106
0.114,-252.20361
0.116,-251.47981
0.118,-251.39644
0.12,-252.16042
0.122,-253.12393
0.124,-254.27483
0.126,-254.95033
0.128,-254.662
0.13,-252.9648
0.132,-250.94508
0.134,-249.45622
0.136,-249.15851
0.138,-249.75288
0.14,-251.28207
0.142,-252.88004
0.144,-253.66136
0.146,-252.74812
0.148,-250.8968
0.15,-248.90143
0.152,-247.65755
0.154,-247.31299
0.156,-248.44958
0.158,-250.63803
0.16,-253.16106
0.162,-254.9427
0.164,-256.29584
0.166,-257.42307
0.168,-258.66455
0.17,-259.78323
0.172,-261.2014
0.174,-262.52167
0.176,-263.16742
0.178,-262.2418
0.18,-260.21707
0.182,-257.48697
0.184,-254.662
0.186,-251.88025
0.188,-250.04604
0.19,-249.23282
0.192,-249.15851
0.194,-248.90128
0.196,-248.47453
0.198,-247.4919
0.2,-245.65628
0.202,-242.36192
0.204,-238.18312
0.206,-233.44217
0.208,-228.64546
0.21,-223.9842
0.212,-220.61429
0.214,-218.98956
0.216,-219.1394
0.218,-220.22691
0.22,-222.11916
0.222,-224.2151
0.224,-226.14386
0.226,-227.48555
0.228,-229.1388
0.23,-231.61519
0.232,-235.1496
0.234,-239.07172
0.236,-243.12062
0.238,-246.29256
0.24,-247.65755
0.242,-246.4904
0.244,-243.48962
0.246,-239.60414
0.248,-236.15022
0.25,-234.3276
0.252,-235.11191
0.254,-238.25082
0.256,-242.65437
0.258,-246.8797
0.26,-249.67188
0.262,-249.99023
0.264,-247.65755
0.266,-243.39088
0.268,-238.9772
0.27,-235.91606
0.272,-235.1496
0.274,-236.0984
0.276,-238.7827
0.278,-242.19048
0.28,-245.15596
0.282,-245.88838
0.284,-244.80928
0.286,-242.41148
0.288,-239.65245
0.29,-236.96098
0.292,-235.73845
0.294,-236.28464
0.296,-238.1515
0.298,-239.84529
0.3,-240.71657
0.302,-240.02574
0.304,-237.65118
0.306,-233.5943
0.308,-228.7996
0.31,-223.10681
0.312,-215.13686
0.314,-201.99646
0.316,-181.34225
0.318,-151.31804
0.32,-112.0713
0.322,-65.75355
0.324,-17.107897
0.326,29.36371
0.328,70.544876
0.33,105.78625
0.332,135.1009
0.334,158.69698
0.336,174.61108
0.338,178.0291
0.34,160.88922
0.342,115.78005
0.344,39.024826
0.346,-66.176605
0.348,-190.1993
0.35,-317.5709
0.352,-431.27435
0.354,-516.9003
0.356,-567.2029
0.358,-582.00714
0.36,-567.36096
0.362,-532.3887
0.364,-487.35886
0.366,-440.1487
0.368,-395.75177
0.37,-356.28098
0.372,-322.99667
0.374,-295.9242
0.376,-274.67474
0.378,-258.20184
0.38,-245.89212
0.382,-236.45938
0.384,-228.64546
0.386,-221.29099
0.388,-214.61737
0.39,-208.92674
0.392,-204.63017
0.394,-201.56694
0.396,-199.84998
0.398,-198.80739
0.4,-197.62572
0.402,-195.4572
0.404,-192.45456
0.406,-188.98332
0.408,-185.61809
0.41,-182.71584
0.412,-180.58661
0.414,-179.28584
0.416,-178.61363
0.418,-178.13536
0.42,-177.44083
0.422,-176.52492
0.424,-175.61171
0.426,-174.84734
0.428,-174.55861
0.43,-174.87274
0.432,-175.61171
0.434,-175.8526
0.436,-175.59659
0.438,-174.24907
0.44,-171.60918
0.442,-167.59805
0.444,-163.94351
0.446,-161.48807
0.448,-160.60217
0.45,-160.6416
0.452,-161.42357
0.454,-161.8721
0.456,-161.1025
0.458,-158.566
0.46,-155.28079
0.462,-152.29222
0.464,-150.59581
0.466,-150.39264
0.468,-151.88324
0.47,-154.28358
0.472,-156.59962
0.474,-157.83911
0.476,-158.19406
0.478,-157.96915
0.48,-157.60027
0.482,-157.05844
0.484,-156.56998
0.486,-155.72394
0.488,-154.09804
0.49,-151.34317
0.492,-148.2358
0.494,-145.56879
0.496,-144.09166
0.498,-143.88618
0.5,-145.02353
0.502,-146.74324
0.504,-148.09421
0.506,-148.12196
0.508,-146.99414
0.51,-145.10011
0.512,-143.09103
0.514,-141.289
0.516,-140.26411
0.518,-139.85179
