time_sec,ecg
0.0,-206.13113
0.002,-229.86859
0.004,-232.32288
0.006,-220.3225
0.008,-204.12985
0.01,-192.49846
0.012,-190.07153
0.014,-195.87715
0.016,-205.1305
0.018,-212.02794
0.02,-213.50795
0.022,-209.86903
0.024,-204.12985
0.026,-199.67058
0.028,-199.12611
0.03,-202.71419
0.032,-208.63272
0.034,-213.94484
0.036,-216.90656
0.038,-217.13689
0.04,-215.63718
0.042,-213.69196
0.044,-212.89236
0.046,-213.93398
0.048,-216.63782
0.05,-219.91101
0.052,-223.14775
0.054,-225.91711
0.056,-228.14514
0.058,-229.63724
0.06,-230.85033
0.062,-232.11336
0.064,-233.64864
0.066,-235.16245
0.068,-236.80434
0.07,-238.51399
0.072,-240.15277
0.074,-241.1915
0.076,-241.78146
0.078,-242.14665
0.08,-242.65437
0.082,-243.19318
0.084,-244.47046
0.086,-246.53229
0.088,-249.15851
0.09,-251.51324
0.092,-253.75423
0.094,-255.7822
0.096,-257.6639
0.098,-259.1029
0.1,-260.7952
0.102,-262.86923
0.104,-265.1687
0.106,-266.78488
0.108,-267.71918
0.11,-267.68094
0.112,-266.66965
0.114,-264.55252
0.116,-262.52414
0.118,-261.39246
0.12,-261.66647
0.122,-262.83063
0.124,-264.92892
0.126,-267.27133
0.128,-269.17123
0.13,-269.73224
0.132,-269.6052
0.134,-269.37112
0.136,-269.67154
0.138,-270.36163
0.14,-271.99738
0.142,-274.279
0.144,-276.67603
0.146,-278.1627
0.148,-279.05637
0.15,-279.47983
0.152,-279.67792
0.154,-279.32733
0.156,-279.05664
0.158,-278.86755
0.16,-278.67728
0.162,-277.95526
0.164,-277.40286
0.166,-277.3717
0.168,-278.17697
0.17,-279.44702
0.172,-281.6512
0.174,-284.5357
0.176,-287.683
0.178,-290.15842
0.18,-292.32324
0.182,-294.26062
0.184,-296.18842
0.186,-297.81076
0.188,-299.87497
0.19,-302.41104
0.192,-305.19415
0.194,-307.3066
0.196,-309.0161
0.198,-310.258
0.2,-311.19797
0.202,-311.67093
0.204,-312.7262
0.206,-314.74268
0.208,-317.70212
0.21,-320.58813
0.212,-323.24734
0.214,-324.95618
0.216,-325.20688
0.218,-323.3843
0.22,-320.51453
0.222,-317.3828
0.224,-314.7002
0.226,-312.27496
0.228,-310.6145
0.23,-309.29218
